时间: 2024/12/1 01:32:57, test电机: 1500, yaw电机: 0
时间: 3/25/2025, 10:32:59 PM, test电机: 9500, yaw电机: 4800
时间: 3/25/2025, 10:33:08 PM, test电机: 9500, yaw电机: 4700
时间: 3/25/2025, 10:33:12 PM, test电机: 9500, yaw电机: 4600
时间: 3/25/2025, 10:33:17 PM, test电机: 9500, yaw电机: 4400
时间: 3/25/2025, 10:33:22 PM, test电机: 9500, yaw电机: 4500
时间: 3/25/2025, 10:33:27 PM, test电机: 9500, yaw电机: 4450
时间: 3/25/2025, 10:33:59 PM, test电机: 9500, yaw电机: 4500
时间: 3/25/2025, 10:34:03 PM, test电机: 9500, yaw电机: 4300
时间: 3/25/2025, 10:34:46 PM, test电机: 9200, yaw电机: 4100
时间: 3/25/2025, 10:35:48 PM, test电机: 8800, yaw电机: 4050
时间: 3/25/2025, 10:36:20 PM, test电机: 8700, yaw电机: 3900
时间: 3/25/2025, 10:36:36 PM, test电机: 8700, yaw电机: 3850
时间: 3/25/2025, 10:37:27 PM, test电机: 8700, yaw电机: 3700
时间: 3/25/2025, 10:37:34 PM, test电机: 8700, yaw电机: 3680
时间: 3/25/2025, 10:37:40 PM, test电机: 8700, yaw电机: 3720时间: 3/25/2025, 10:53:28 PM, test电机: 8800, yaw电机: 3900
时间: 3/25/2025, 10:53:35 PM, test电机: 8800, yaw电机: 4100
时间: 3/25/2025, 10:53:41 PM, test电机: 8800, yaw电机: 4200
时间: 3/25/2025, 10:53:47 PM, test电机: 8800, yaw电机: 4250
时间: 3/25/2025, 10:54:36 PM, test电机: 8800, yaw电机: 4300
时间: 3/25/2025, 10:55:08 PM, test电机: 8700, yaw电机: 4400
时间: 3/25/2025, 10:55:43 PM, test电机: 8500, yaw电机: 4350
时间: 3/25/2025, 10:57:08 PM, test电机: 8300, yaw电机: 4350
时间: 3/25/2025, 10:57:53 PM, test电机: 7800, yaw电机: 4350
时间: 3/25/2025, 10:57:59 PM, test电机: 7400, yaw电机: 4350
时间: 3/25/2025, 10:58:04 PM, test电机: 7000, yaw电机: 4350
时间: 3/25/2025, 10:58:41 PM, test电机: 7200, yaw电机: 4350
时间: 3/25/2025, 10:59:07 PM, test电机: 7400, yaw电机: 4350
时间: 3/25/2025, 11:07:17 PM, test电机: 7400, yaw电机: 4400
